"invx1  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
0.1225 ns,0.01590404,0.01771846,0.02215248,0.02986798,0.04586061,0.1017063,0.2645612
0.2823 ns,0.02627381,0.02920499,0.03614244,0.04891754,0.0697797,0.1134993,0.264564
0.6507 ns,0.04635355,0.05042896,0.060211,0.0804442,0.1146113,0.16802,0.2873591
1.5000 ns,0.08995992,0.09456609,0.1068355,0.1348385,0.1882667,0.27573,0.4089137

"invx2  |  fall_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.002967171,0.003905621,0.00651486,0.01350774,0.03189788,0.08089872,0.2109383
0.0231 ns,0.003917543,0.004565173,0.006762251,0.01352647,0.03190261,0.08090078,0.2109394
0.0531 ns,0.00669624,0.007864413,0.01044542,0.01558852,0.03202747,0.08090452,0.2109433
0.1225 ns,0.01165292,0.01361634,0.01743306,0.02465172,0.03824001,0.0813674,0.2109615
0.2823 ns,0.02014912,0.02287772,0.02896944,0.04041178,0.05994336,0.09547203,0.211487
0.6507 ns,0.03826374,0.04197751,0.05043029,0.06722276,0.09711931,0.1471255,0.2410032
1.5000 ns,0.07887558,0.08302125,0.09377263,0.1170412,0.1604569,0.2367104,0.3617329


"invx4  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.006958457,0.007475902,0.008861795,0.01236072,0.02079993,0.0421313,0.09788264
0.0231 ns,0.009988401,0.01065096,0.01208788,0.01533334,0.02367528,0.04512543,0.1010001
0.0531 ns,0.01354987,0.01461873,0.01706432,0.02203622,0.03091299,0.05222945,0.1082055
0.1225 ns,0.01831644,0.01991944,0.0237464,0.03167352,0.04570666,0.06942352,0.1251652
0.2823 ns,0.02562078,0.02787267,0.03336253,0.0451513,0.06711998,0.1042168,0.1651857
0.6507 ns,0.03853312,0.04156864,0.04904869,0.06548708,0.09760362,0.1552618,0.2489967
1.5000 ns,0.06365989,0.06749187,0.07725145,0.09945171,0.1441034,0.2282693,0.3741487

"invx4  |  cell_fall  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.007241628,0.007710822,0.008963752,0.01208825,0.01956858,0.03845072,0.08785762
0.0231 ns,0.009291937,0.009892383,0.01133469,0.01441415,0.02198891,0.04105303,0.0905777
0.0531 ns,0.01144609,0.0123514,0.01456725,0.01927813,0.0279921,0.04715043,0.09684213
0.1225 ns,0.01300891,0.01439428,0.01782435,0.0250584,0.03846141,0.06179188,0.1115027
0.2823 ns,0.01252208,0.0145948,0.01966335,0.03047619,0.05084301,0.08653765,0.1459465
0.6507 ns,0.006015128,0.009064644,0.01648005,0.03230677,0.06233543,0.1161918,0.2069336
1.5000 ns,-0.01483684,-0.0107104,-0.0004400938,0.02213191,0.06571738,0.1448802,0.2817508

"invx4  |  rise_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.003466913,0.004057016,0.005671307,0.01000839,0.02141293,0.05180445,0.1324514
0.0231 ns,0.005204687,0.005492835,0.006493626,0.01008562,0.02142068,0.05180782,0.1324527
0.0531 ns,0.009100532,0.009717039,0.01124617,0.01427201,0.02278133,0.05182995,0.1324602
0.1225 ns,0.01501893,0.01633813,0.01899213,0.02408353,0.0330873,0.05545755,0.1324891
0.2823 ns,0.02497649,0.02656712,0.03061252,0.03916859,0.05386193,0.07825519,0.1396348
0.6507 ns,0.04479233,0.04677845,0.05212668,0.06442053,0.08828401,0.1277814,0.1893178
1.5000 ns,0.08860393,0.09079993,0.09683956,0.1122839,0.1458915,0.2089807,0.308596

"invx4  |  fall_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.00264543,0.003109996,0.004378072,0.00780197,0.01682384,0.04086258,0.1046624
0.0231 ns,0.00377337,0.004105388,0.005062084,0.007972356,0.01683504,0.04086699,0.1046644
0.0531 ns,0.006506969,0.00693563,0.008371697,0.01161248,0.01834797,0.04088489,0.1046764
0.1225 ns,0.0111901,0.01191721,0.01430009,0.01912813,0.02766081,0.04550525,0.104712
0.2823 ns,0.01865021,0.02031758,0.02356967,0.03096743,0.04430947,0.06749083,0.1149452
0.6507 ns,0.03622987,0.03811857,0.04276433,0.05285364,0.07233189,0.1074737,0.1661876
1.5000 ns,0.07685839,0.07864851,0.08384708,0.09675751,0.1235459,0.1740567,0.2628599


"invx8  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.006745994,0.007017289,0.007725287,0.009572681,0.01407683,0.02514529,0.05337253
0.0231 ns,0.009730662,0.01009411,0.01098088,0.01273521,0.01699734,0.02803963,0.05640477
0.0531 ns,0.01323538,0.01378382,0.01518284,0.01823876,0.02414194,0.03521204,0.06353254
0.1225 ns,0.0180916,0.01891248,0.02107204,0.02583182,0.03511577,0.05153577,0.08064957
0.2823 ns,0.0259376,0.02709718,0.03005272,0.03693203,0.05093151,0.07663116,0.1190921
0.6507 ns,0.04034432,0.04190132,0.04589354,0.05529756,0.07498165,0.1130168,0.1794119
1.5000 ns,0.06936055,0.07127462,0.07634203,0.08870384,0.1155297,0.1688952,0.2671528

"invx8  |  cell_fall  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.007069026,0.007310759,0.007960158,0.009623839,0.01364555,0.02346579,0.04853037
0.0231 ns,0.009012875,0.009321574,0.01012649,0.01193647,0.01592269,0.02588019,0.05111549
0.0531 ns,0.01090432,0.01136161,0.01258501,0.01541784,0.02111434,0.03175039,0.0571279
0.1225 ns,0.01190799,0.01260235,0.01445423,0.01879252,0.02753901,0.04351279,0.07142166
0.2823 ns,0.01013254,0.01127781,0.01402515,0.02048383,0.03352905,0.05786151,0.09959314
0.6507 ns,0.00122743,0.002821341,0.0068904,0.01623958,0.03531098,0.07132779,0.1345749
1.5000 ns,-0.02441252,-0.02232457,-0.01687772,-0.003924371,0.02328248,0.07549538,0.1688668

"invx8  |  rise_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
